title	l:label	id:string:classes
Data processing: presentation processing of document, operator interface processing, and screen saver display processing	Class	715
Computer-aided design and analysis of circuits and semiconductor masks	Class	716
Data processing: software development, installation, and management	Class	717
Electrical computers and digital processing systems: virtual machine task or process management or task management/control	Class	718
Electrical computers and digital processing systems: interprogram communication or interprocess communication (ipc)	Class	719
Metal deforming	Class	72
Dynamic optical information storage or retrieval	Class	720
Interactive video distribution systems	Class	725
Information security	Class	726
Measuring and testing	Class	73
Machine element or mechanism	Class	74
Specialized metallurgical processes, compositions for use therein, consolidated metal powder compositions, and loose metal particulate mixtures	Class	75
Metal tools and implements, making	Class	76
Button making	Class	79
Bleaching and dyeing; fluid treatment and chemical modification of textiles and fibers	Class	8
Multicellular living organisms and unmodified parts thereof and related processes	Class	800
Tools	Class	81
Turning	Class	82
Cutting	Class	83
Music	Class	84
Scanning-probe techniques or apparatus; applications of scanning-probe techniques, e.g., scanning probe microscopy [spm]	Class	850
Ammunition and explosive-charge making	Class	86
Textiles: braiding, netting, and lace making	Class	87
Ordnance	Class	89
Robots	Class	901
Electronic funds transfer	Class	902
Hybrid electric vehicles (hevs)	Class	903
Motors: expansible chamber type	Class	91
Expansible chamber devices	Class	92
Peptide or protein sequence	Class	930
Gas separation: processes	Class	95
Gas separation: apparatus	Class	96
Horology	Class	968
Nuclear technology	Class	976
Nanotechnology	Class	977
Musical instruments	Class	984
Organic compounds containing a bi, sb, as, or p atom or containing a metal atom of the 6th to 8th group of the periodic system	Class	987
Foods and beverages: apparatus	Class	99
Edible products	Class	D01
Apparel and haberdashery	Class	D02
Travel goods and personal belongings	Class	D03
Brushware	Class	D04
Textile or paper yard goods; sheet material	Class	D05
Furnishings	Class	D06
Equipment for preparing or serving food or drink not elsewhere specified	Class	D07
Tools and hardware	Class	D08
Packages and containers for goods	Class	D09
Measuring, testing, or signalling instruments	Class	D10
Jewelry, symbolic insignia, and ornaments	Class	D11
Transportation	Class	D12
Equipment for production, distribution, or transformation of energy	Class	D13
Recording, communication, or information retrieval equipment	Class	D14
Machines not elsewhere specified	Class	D15
Photography and optical equipment	Class	D16
Musical instruments	Class	D17
Printing and office machinery	Class	D18
Office supplies; artists and teachers materials	Class	D19
Sales and advertising equipment	Class	D20
Games, toys, and sports goods	Class	D21
Arms, pyrotechnics, hunting and fishing equipment	Class	D22
Environmental heating and cooling; fluid handling and sanitary equipment	Class	D23
Medical and laboratory equipment	Class	D24
Building units and construction elements	Class	D25
Lighting	Class	D26
Tobacco and smokers' supplies	Class	D27
Cosmetic products and toilet articles	Class	D28
Equipment for safety, protection, and rescue	Class	D29
Animal husbandry	Class	D30
Washing, cleaning, or drying machine	Class	D32
Material or article handling equipment	Class	D34
Miscellaneous	Class	D99
