id:string:subclasses	l:label
438/619	Subclass
345/708	Subclass
257/E21.581	Subclass
345/714	Subclass
438/629	Subclass
257/E21.171	Subclass
257/E21.586	Subclass
438/652	Subclass
438/613	Subclass
707/737	Subclass
257/E23.021	Subclass
438/108	Subclass
358/468	Subclass
370/432	Subclass
438/614	Subclass
435/471	Subclass
435/477	Subclass
D9/504	Subclass
435/481	Subclass
726/26	Subclass
380/255	Subclass
536/237	Subclass
228/180.22	Subclass
160/8408	Subclass
438/650	Subclass
257/E21.622	Subclass
257/E21.627	Subclass
438/275	Subclass
257/E21.2	Subclass
257/E29.266	Subclass
438/299	Subclass
363/2106	Subclass
257/E21.202	Subclass
363/127	Subclass
257/E29.159	Subclass
257/E29.156	Subclass
297/18012	Subclass
438/244	Subclass
438/491	Subclass
438/542	Subclass
438/594	Subclass
438/585	Subclass
726/12	Subclass
257/E21.434	Subclass
713/160	Subclass
257/E21.444	Subclass
D9/454	Subclass
D9/449	Subclass
438/558	Subclass
257/E21.358	Subclass
438/489	Subclass
438/537	Subclass
707/102	Subclass
438/540	Subclass
438/541	Subclass
707/200	Subclass
438/694	Subclass
438/533	Subclass
16/91	Subclass
438/529	Subclass
297/18013	Subclass
296/10712	Subclass
257/607	Subclass
261/30	Subclass
257/611	Subclass
297/18014	Subclass
257/768	Subclass
297/2846	Subclass
257/E21.336	Subclass
297/2845	Subclass
204/1921	Subclass
257/E21.634	Subclass
438/303	Subclass
438/517	Subclass
257/E21.228	Subclass
257/E21.285	Subclass
257/E21.335	Subclass
438/305	Subclass
438/581	Subclass
438/583	Subclass
345/420	Subclass
438/510	Subclass
257/E21.21	Subclass
257/E21.662	Subclass
257/E21.679	Subclass
438/257	Subclass
438/258	Subclass
438/266	Subclass
438/488	Subclass
34/493	Subclass
257/E21.101	Subclass
257/E21.131	Subclass
438/479	Subclass
257/E21.125	Subclass
261/81	Subclass
382/100	Subclass
261/DIG46	Subclass
257/E21.108	Subclass
261/DIG48	Subclass
438/483	Subclass
257/E21.566	Subclass
D14/408	Subclass
257/E21.567	Subclass
438/404	Subclass
438/413	Subclass
438/476	Subclass
257/E21.32	Subclass
438/471	Subclass
257/E21.318	Subclass
600/228	Subclass
438/458	Subclass
257/E21.133	Subclass
257/E21.413	Subclass
438/34	Subclass
34/260	Subclass
257/E21.57	Subclass
438/424	Subclass
368/10	Subclass
34/549	Subclass
257/E21.553	Subclass
347/70	Subclass
257/E21.556	Subclass
34/497	Subclass
382/321	Subclass
438/426	Subclass
34/495	Subclass
438/434	Subclass
438/421	Subclass
438/422	Subclass
438/401	Subclass
438/462	Subclass
438/398	Subclass
257/296	Subclass
257/309	Subclass
257/E21.013	Subclass
257/E21.019	Subclass
438/255	Subclass
438/396	Subclass
438/3	Subclass
29/834	Subclass
257/E21.009	Subclass
347/85	Subclass
257/E21.016	Subclass
345/82	Subclass
257/E21.28	Subclass
438/254	Subclass
438/393	Subclass
438/397	Subclass
345/419	Subclass
326/81	Subclass
257/E21.021	Subclass
73/605	Subclass
257/E21.168	Subclass
73/623	Subclass
438/250	Subclass
73/626	Subclass
438/386	Subclass
382/117	Subclass
257/301	Subclass
382/131	Subclass
